600
1, 97, 2.685752
97, 1, 2.685752
1, 32, 2.893314
32, 1, 2.893314
1, 7, 3.621274
7, 1, 3.621274
2, 99, 5.319990
99, 2, 5.319990
2, 56, 8.537550
56, 2, 8.537550
2, 34, 9.889343
34, 2, 9.889343
3, 19, 7.339460
19, 3, 7.339460
3, 28, 8.883699
28, 3, 8.883699
3, 68, 9.093887
68, 3, 9.093887
4, 96, 2.389236
96, 4, 2.389236
4, 100, 7.461649
100, 4, 7.461649
4, 35, 9.007769
35, 4, 9.007769
5, 95, 7.988345
95, 5, 7.988345
5, 34, 8.186703
34, 5, 8.186703
5, 30, 10.331847
30, 5, 10.331847
6, 81, 5.034341
81, 6, 5.034341
6, 72, 16.275342
72, 6, 16.275342
6, 70, 17.770788
70, 6, 17.770788
7, 32, 0.728154
32, 7, 0.728154
7, 1, 3.621274
1, 7, 3.621274
7, 97, 5.096525
97, 7, 5.096525
8, 75, 2.630325
75, 8, 2.630325
8, 66, 3.483645
66, 8, 3.483645
8, 46, 3.985496
46, 8, 3.985496
9, 100, 3.300871
100, 9, 3.300871
9, 35, 4.786936
35, 9, 4.786936
9, 61, 6.628997
61, 9, 6.628997
10, 20, 1.533926
20, 10, 1.533926
10, 26, 3.338085
26, 10, 3.338085
10, 52, 13.115832
52, 10, 13.115832
11, 51, 4.948841
51, 11, 4.948841
11, 22, 12.344243
22, 11, 12.344243
11, 24, 16.259932
24, 11, 16.259932
12, 90, 4.679228
90, 12, 4.679228
12, 94, 7.650010
94, 12, 7.650010
12, 70, 17.357318
70, 12, 17.357318
13, 65, 5.076457
65, 13, 5.076457
13, 38, 9.159532
38, 13, 9.159532
13, 57, 10.995375
57, 13, 10.995375
14, 58, 9.906613
58, 14, 9.906613
14, 42, 11.171387
42, 14, 11.171387
14, 28, 13.002389
28, 14, 13.002389
15, 43, 6.047359
43, 15, 6.047359
15, 21, 8.602945
21, 15, 8.602945
15, 1, 11.780551
1, 15, 11.780551
16, 38, 6.253232
38, 16, 6.253232
16, 74, 10.046987
74, 16, 10.046987
16, 44, 10.746145
44, 16, 10.746145
17, 61, 11.472151
61, 17, 11.472151
17, 35, 12.445442
35, 17, 12.445442
17, 9, 12.445851
9, 17, 12.445851
18, 58, 9.331542
58, 18, 9.331542
18, 14, 14.534609
14, 18, 14.534609
18, 39, 15.586115
39, 18, 15.586115
19, 92, 2.943832
92, 19, 2.943832
19, 68, 3.696090
68, 19, 3.696090
19, 3, 7.339460
